Departements,Superficie_totale,AOC,VDQS,Cognac,AOC_blanc,AOC_rougerose,VDQS_blanc,VDQS_rougerose,Cognac.1,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
O1 AIN,562.0,562.0,,,15962.0,14852.0,,,,745.0,106.0,3728.0,11071.0,20435.0,26029.0,46464.0
O2 AISNE,2362.0,2362.0,,,179610.0,,,,,,,10663.0,156.0,190273.0,156.0,190429.0
O3 ALLIER,417.0,417.0,,,3691.0,9767.0,,,,548.0,922.0,300.0,3801.0,4539.0,14490.0,19029.0
04 ALPES-HTE-PR,282.0,282.0,,,1460.0,11082.0,,,,3776.0,19044.0,223.0,4724.0,5459.0,34850.0,40309.0
O5 ALPES-HAUTES,0.0,,,,,,,,,806.0,3027.0,80.0,765.0,886.0,3792.0,4678.0
O6 ALPES-Mmes,43.0,43.0,,,283.0,509.0,,,,242.0,631.0,20.0,499.0,545.0,1639.0,2184.0
O7 ARDECHE,2897.0,2897.0,,,6562.0,100643.0,,,,66222.0,315283.0,1184.0,21055.0,73968.0,436981.0,510949.0
O8 ARDENNES,0.0,,,,,,,,,,,15.0,14.0,15.0,14.0,29.0
O9 ARIEGE,0.0,,,,,,,,,,,1.0,507.0,1.0,507.0,508.0
10 AUBE,6890.0,6890.0,,,513498.0,,,,,,,51340.0,1113.0,564838.0,1113.0,565951.0
11 AUDE,20948.0,20948.0,,,89151.0,661056.0,,,,376435.0,2316817.0,14289.0,163952.0,479875.0,3141825.0,3621700.0
12 AVEYRON,292.0,201.0,91.0,,,8705.0,374.0,3453.0,,50.0,586.0,249.0,7131.0,673.0,19875.0,20548.0
13 BOUCHES-DU-R,6588.0,6588.0,,,15277.0,277528.0,,,,15913.0,173318.0,1242.0,11433.0,32432.0,462279.0,494711.0
14 CALVADOS,0.0,,,,,,,,,130.0,15.0,7.0,0.0,137.0,15.0,152.0
15 CANTAL,2.0,,2.0,,,,7.0,93.0,,40.0,120.0,6.0,83.0,53.0,296.0,349.0
16 CHARENTE,36656.0,138.0,,36518.0,4127.0,3869.0,,,3654728.0,6124.0,21980.0,299431.0,80868.0,3964410.0,106717.0,4071127.0
17 CHARENTE-MAR,33654.0,990.0,,32664.0,32978.0,33776.0,,,3334257.0,32702.0,48413.0,985816.0,117529.0,4385753.0,199718.0,4585471.0
18 CHER,3700.0,3616.0,84.0,,126590.0,33454.0,,3169.0,,539.0,662.0,156.0,2019.0,127285.0,39304.0,166589.0
19 CORREZE,0.0,,,,,,,,,484.0,1854.0,15.0,3783.0,499.0,5637.0,6136.0
2A CORSE SUD,731.0,731.0,,,3502.0,22265.0,,,,161.0,2126.0,231.0,2077.0,3894.0,26468.0,30362.0
2B CORSE(HTE),2309.0,2309.0,,,12123.0,80932.0,,,,29215.0,160664.0,4993.0,3938.0,46331.0,245534.0,291865.0
21 COTE D'OR,9359.0,9359.0,,,180487.0,296814.0,,,,1231.0,1004.0,3495.0,5141.0,185213.0,302959.0,488172.0
22 COTES-D'ARMOR,0.0,,,,,,,,,,,0.0,0.0,,,
23 CREUSE,0.0,,,,,,,,,,,0.0,0.0,,,
24 DORDOGNE,11941.0,11919.0,,22.0,193675.0,365264.0,,,1511.0,577.0,9716.0,5135.0,30048.0,200898.0,405028.0,605926.0
25 DOUBS,0.0,,,,,,,,,244.0,39.0,292.0,373.0,536.0,412.0,948.0
26 DROME,15172.0,15172.0,,,108047.0,501011.0,,,,12033.0,99065.0,1724.0,20445.0,121804.0,620521.0,742325.0
27 EURE,0.0,,,,,,,,,,,0.0,0.0,,,
