Departements,Superficie_totale,AOC_blanc,AOC_rougerose,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
01 AIN,758.4525999999998,12323.03,15555.619999999999,442.71,170.89999999999998,0.0,4649.71,12765.74,20376.23,0.0
02 AISNE,2441.2927999999997,164777.06,0.0,0.0,0.0,0.0,357.09,164777.06,357.09,0.0
03 ALLIER,647.2769,7394.03,16148.48,0.0,100.34,0.0,1200.95,7394.03,17449.77,0.0
04 ALPES-HTE-PR,674.1127999999999,1609.25,11861.18,2914.9,19277.05,0.0,1091.52,4524.15,32229.75,0.0
05 ALPES-HAUTES,115.6571,0.0,0.0,878.3,2974.42,0.0,314.5,878.3,3288.92,0.0
06 ALPES-Mmes,85.995,580.1,802.37,142.14,564.97,0.0,66.85,722.24,1434.19,0.0
07 ARDECHE,10320.8559,9292.78,96369.9,81450.21,301821.26,0.0,19164.46,90742.99,417355.62000000005,0.0
08 ARDENNES,0.102,0.0,0.0,0.0,0.0,0.0,5.1,0.0,5.1,0.0
09 ARIEGE,67.4625,0.0,0.0,179.0,1887.0,0.0,413.13,179.0,2300.13,0.0
10 AUBE,6967.7343,479697.65,0.0,0.0,0.0,0.0,478.1,479697.65,478.1,0.0
11 AUDE,67810.3697,114026.82,668697.25,584467.76,2141738.2399999998,167.49,283467.28,698662.0700000001,3093902.7699999996,0.0
12 AVEYRON,403.6895999999999,362.59,10904.77,202.13,878.52,0.0,1324.0900000000001,564.72,13107.380000000001,0.0
13 BOUCHES-DU-R,10150.5962,19156.99,322191.89999999997,12786.2,224728.24,0.0,15292.2,31943.190000000002,562212.3399999999,0.0
14 CALVADOS,4.9,0.0,0.0,113.25,69.0,0.0,1.0,113.25,70.0,0.0
15 CANTAL,8.2823,16.25,62.5,38.3,63.39,0.0,27.9,54.55,153.79,0.0
16 CHARENTE,39145.4714,3820.33,4610.01,6870.89,18698.78,0.0,48132.380000000005,10691.220000000001,71441.17000000001,4697139.32
17 CHARENTE-MAR,38783.0171,33256.47,37544.62,26755.58,44327.490000000005,0.0,113104.3,60012.05,194976.41000000003,4591089.05
18 CHER,4190.8625,180994.9,49172.03,1333.7,1246.99,0.0,1161.04,182328.6,51580.06,0.0
19 CORREZE,138.72050000000002,0.0,0.0,475.01,1495.46,0.0,1353.1999999999998,475.01,2848.66,0.0
21 COTE D'OR,9528.0702,165485.19,217596.03,474.16,421.35,0.0,3277.16,165959.35,221294.54,0.0
24 DORDOGNE,11475.967399999998,177811.33,287147.63,2926.02,13465.220000000001,0.0,19483.5,180737.34999999998,320096.35,1601.5
25 DOUBS,22.157899999999998,8.99,0.0,188.5,41.3,0.0,385.9,197.49,427.2,0.0
26 DROME,15995.4161,126095.03,498405.07,13536.8,99637.0,0.0,8692.300000000001,139631.83,606734.3700000001,0.0
28 EURE-ET-LOIR,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2A CORSE SUD,886.6359,4108.1,22509.879999999997,561.0,3661.42,0.0,2220.0,4669.1,28391.299999999996,0.0
2B CORSE(HTE),4907.6603000000005,14098.23,73998.16,24381.93,214637.69,0.0,10670.3,38480.16,299306.14999999997,0.0
30 GARD,52498.4556,65072.94,837487.6,371023.42,1739377.74,0.0,206308.16,436096.36,2783173.5,0.0
31 GARONNE(HTE),1546.5985,0.0,42295.259999999995,456.5,29304.5,0.0,3595.3300000000004,456.5,75195.09,0.0
32 GERS,17710.8953,18457.95,76275.0,890276.11,171944.90000000002,41.92,373332.98,908775.98,621552.88,154606.88
33 GIRONDE,113645.08890000002,556417.32,4758265.63,6067.43,18889.29,0.0,102257.91,562484.75,4879412.83,0.0
34 HERAULT,81124.178,139724.09,485906.63,1053319.5,3196048.2199999997,775.51,489276.76,1193819.1,4171231.6099999994,0.0
